Provincias;Periodo;Total
12 Castellón/Castelló;1996;2.514
12 Castellón/Castelló;1995;2.492
12 Castellón/Castelló;1994;2.482
12 Castellón/Castelló;1993;2.347
12 Castellón/Castelló;1992;2.613
12 Castellón/Castelló;1991;2.531
12 Castellón/Castelló;1990;2.481
12 Castellón/Castelló;1989;2.622
12 Castellón/Castelló;1988;2.533
12 Castellón/Castelló;1987;2.512
12 Castellón/Castelló;1986;2.417
12 Castellón/Castelló;1985;2.288
12 Castellón/Castelló;1984;2.466
12 Castellón/Castelló;1983;2.407
12 Castellón/Castelló;1982;2.484
12 Castellón/Castelló;1981;2.421
12 Castellón/Castelló;1980;2.248
12 Castellón/Castelló;1979;2.836
12 Castellón/Castelló;1978;2.990
12 Castellón/Castelló;1977;2.909
12 Castellón/Castelló;1976;2.841
12 Castellón/Castelló;1975;3.105
13 Ciudad Real;2020;654
13 Ciudad Real;2019;1.643
13 Ciudad Real;2018;1.698
13 Ciudad Real;2017;1.659
13 Ciudad Real;2016;1.722
13 Ciudad Real;2015;1.651
13 Ciudad Real;2014;1.557
13 Ciudad Real;2013;1.527
13 Ciudad Real;2012;1.731
13 Ciudad Real;2011;1.633
13 Ciudad Real;2010;1.748
13 Ciudad Real;2009;1.918
13 Ciudad Real;2008;2.228
13 Ciudad Real;2007;2.321
13 Ciudad Real;2006;2.257
13 Ciudad Real;2005;2.330
13 Ciudad Real;2004;2.309
13 Ciudad Real;2003;2.218
13 Ciudad Real;2002;2.192
13 Ciudad Real;2001;2.290
13 Ciudad Real;2000;2.391
13 Ciudad Real;1999;2.262
13 Ciudad Real;1998;2.281
13 Ciudad Real;1997;2.189
13 Ciudad Real;1996;2.294
13 Ciudad Real;1995;2.329
13 Ciudad Real;1994;2.415
13 Ciudad Real;1993;2.650
13 Ciudad Real;1992;2.865
13 Ciudad Real;1991;2.812
13 Ciudad Real;1990;3.014
13 Ciudad Real;1989;3.114
13 Ciudad Real;1988;3.079
13 Ciudad Real;1987;2.946
13 Ciudad Real;1986;2.926
13 Ciudad Real;1985;2.783
13 Ciudad Real;1984;2.789
13 Ciudad Real;1983;2.920
13 Ciudad Real;1982;2.729
13 Ciudad Real;1981;2.925
13 Ciudad Real;1980;2.843
13 Ciudad Real;1979;2.879
13 Ciudad Real;1978;2.784
13 Ciudad Real;1977;2.824
13 Ciudad Real;1976;2.670
13 Ciudad Real;1975;2.694
14 Córdoba;2020;1.193
14 Córdoba;2019;2.750
14 Córdoba;2018;2.769
14 Córdoba;2017;2.841
14 Córdoba;2016;2.952
14 Córdoba;2015;2.701
14 Córdoba;2014;2.550
14 Córdoba;2013;2.336
14 Córdoba;2012;2.708
14 Córdoba;2011;2.760
14 Córdoba;2010;2.911
14 Córdoba;2009;3.290
14 Córdoba;2008;3.893
14 Córdoba;2007;3.971
14 Córdoba;2006;4.042
14 Córdoba;2005;3.979
14 Córdoba;2004;4.057
14 Córdoba;2003;4.160
14 Córdoba;2002;4.082
14 Córdoba;2001;4.226
14 Córdoba;2000;4.362
14 Córdoba;1999;4.203
14 Córdoba;1998;4.134
14 Córdoba;1997;3.836
14 Córdoba;1996;3.867
14 Córdoba;1995;4.133
14 Córdoba;1994;4.219
14 Córdoba;1993;4.165
14 Córdoba;1992;4.722
14 Córdoba;1991;4.778
14 Córdoba;1990;5.044
14 Córdoba;1989;5.093
14 Córdoba;1988;5.041
14 Córdoba;1987;4.984
14 Córdoba;1986;4.875
14 Córdoba;1985;4.563
14 Córdoba;1984;4.597
14 Córdoba;1983;4.741
14 Córdoba;1982;4.560
14 Córdoba;1981;4.281
14 Córdoba;1980;4.667
14 Córdoba;1979;4.781
14 Córdoba;1978;4.852
14 Córdoba;1977;4.563
14 Córdoba;1976;4.769
14 Córdoba;1975;4.731
15 Coruña, A;2020;2.400
15 Coruña, A;2019;4.034
15 Coruña, A;2018;3.879
15 Coruña, A;2017;4.055
15 Coruña, A;2016;4.120
15 Coruña, A;2015;4.120
15 Coruña, A;2014;3.963
15 Coruña, A;2013;3.789
15 Coruña, A;2012;4.292
15 Coruña, A;2011;4.077
15 Coruña, A;2010;4.290
15 Coruña, A;2009;4.397
15 Coruña, A;2008;4.741
15 Coruña, A;2007;4.749
15 Coruña, A;2006;4.776
15 Coruña, A;2005;4.683
15 Coruña, A;2004;4.899
15 Coruña, A;2003;4.745
15 Coruña, A;2002;4.874
15 Coruña, A;2001;4.651
15 Coruña, A;2000;5.039
15 Coruña, A;1999;4.973
15 Coruña, A;1998;4.823
15 Coruña, A;1997;4.888
15 Coruña, A;1996;4.851
15 Coruña, A;1995;4.874
15 Coruña, A;1994;4.851
15 Coruña, A;1993;5.086
15 Coruña, A;1992;5.506
15 Coruña, A;1991;5.403
15 Coruña, A;1990;5.683
15 Coruña, A;1989;5.721
15 Coruña, A;1988;5.805
15 Coruña, A;1987;5.811
