Provincias,Periodo,Total,Sexo,id_gen
19 Guadalajara,2017,939,Mujer-Hombre,0
19 Guadalajara,2016,999,Mujer-Hombre,0
19 Guadalajara,2015,1011,Mujer-Hombre,0
19 Guadalajara,2014,928,Mujer-Hombre,0
19 Guadalajara,2013,925,Mujer-Hombre,0
19 Guadalajara,2012,1069,Mujer-Hombre,0
19 Guadalajara,2011,1001,Mujer-Hombre,0
19 Guadalajara,2010,1083,Mujer-Hombre,0
19 Guadalajara,2009,1032,Mujer-Hombre,0
19 Guadalajara,2008,1199,Mujer-Hombre,0
19 Guadalajara,2007,1244,Mujer-Hombre,0
19 Guadalajara,2006,1182,Mujer-Hombre,0
19 Guadalajara,2005,1142,Mujer-Hombre,0
21 Huelva,2020,995,Mujer-Hombre,0
21 Huelva,2019,1811,Mujer-Hombre,0
21 Huelva,2018,1647,Mujer-Hombre,0
21 Huelva,2017,1666,Mujer-Hombre,0
21 Huelva,2016,1856,Mujer-Hombre,0
21 Huelva,2015,1723,Mujer-Hombre,0
21 Huelva,2014,1671,Mujer-Hombre,0
21 Huelva,2013,1558,Mujer-Hombre,0
21 Huelva,2012,1863,Mujer-Hombre,0
21 Huelva,2011,1695,Mujer-Hombre,0
21 Huelva,2010,1750,Mujer-Hombre,0
21 Huelva,2009,1810,Mujer-Hombre,0
21 Huelva,2008,2384,Mujer-Hombre,0
21 Huelva,2007,2469,Mujer-Hombre,0
21 Huelva,2006,2539,Mujer-Hombre,0
21 Huelva,2005,2645,Mujer-Hombre,0
22 Huesca,2020,355,Mujer-Hombre,0
22 Huesca,2019,694,Mujer-Hombre,0
22 Huesca,2018,625,Mujer-Hombre,0
22 Huesca,2017,615,Mujer-Hombre,0
22 Huesca,2016,686,Mujer-Hombre,0
22 Huesca,2015,605,Mujer-Hombre,0
22 Huesca,2014,674,Mujer-Hombre,0
22 Huesca,2013,643,Mujer-Hombre,0
22 Huesca,2012,766,Mujer-Hombre,0
22 Huesca,2011,626,Mujer-Hombre,0
22 Huesca,2010,670,Mujer-Hombre,0
22 Huesca,2009,694,Mujer-Hombre,0
22 Huesca,2008,732,Mujer-Hombre,0
22 Huesca,2007,796,Mujer-Hombre,0
22 Huesca,2006,819,Mujer-Hombre,0
22 Huesca,2005,797,Mujer-Hombre,0
23 Jaén,2020,718,Mujer-Hombre,0
23 Jaén,2019,2182,Mujer-Hombre,0
23 Jaén,2018,2259,Mujer-Hombre,0
23 Jaén,2017,2274,Mujer-Hombre,0
23 Jaén,2016,2244,Mujer-Hombre,0
23 Jaén,2015,2143,Mujer-Hombre,0
23 Jaén,2014,2052,Mujer-Hombre,0
23 Jaén,2013,1818,Mujer-Hombre,0
23 Jaén,2012,2226,Mujer-Hombre,0
23 Jaén,2011,2175,Mujer-Hombre,0
23 Jaén,2010,2198,Mujer-Hombre,0
23 Jaén,2009,2449,Mujer-Hombre,0
23 Jaén,2008,2959,Mujer-Hombre,0
23 Jaén,2007,3108,Mujer-Hombre,0
23 Jaén,2006,3186,Mujer-Hombre,0
23 Jaén,2005,3198,Mujer-Hombre,0
24 León,2020,690,Mujer-Hombre,0
24 León,2019,1251,Mujer-Hombre,0
24 León,2018,1343,Mujer-Hombre,0
24 León,2017,1412,Mujer-Hombre,0
24 León,2016,1380,Mujer-Hombre,0
24 León,2015,1294,Mujer-Hombre,0
24 León,2014,1430,Mujer-Hombre,0
24 León,2013,1367,Mujer-Hombre,0
24 León,2012,1586,Mujer-Hombre,0
24 León,2011,1448,Mujer-Hombre,0
24 León,2010,1518,Mujer-Hombre,0
24 León,2009,1517,Mujer-Hombre,0
24 León,2008,1646,Mujer-Hombre,0
24 León,2007,1760,Mujer-Hombre,0
24 León,2006,1623,Mujer-Hombre,0
24 León,2005,1727,Mujer-Hombre,0
25 Lleida,2020,827,Mujer-Hombre,0
25 Lleida,2019,1349,Mujer-Hombre,0
25 Lleida,2018,1334,Mujer-Hombre,0
25 Lleida,2017,1411,Mujer-Hombre,0
25 Lleida,2016,1442,Mujer-Hombre,0
25 Lleida,2015,1311,Mujer-Hombre,0
25 Lleida,2014,1413,Mujer-Hombre,0
25 Lleida,2013,1330,Mujer-Hombre,0
25 Lleida,2012,1443,Mujer-Hombre,0
25 Lleida,2011,1433,Mujer-Hombre,0
25 Lleida,2010,1560,Mujer-Hombre,0
25 Lleida,2009,1582,Mujer-Hombre,0
25 Lleida,2008,1785,Mujer-Hombre,0
25 Lleida,2007,1821,Mujer-Hombre,0
25 Lleida,2006,1778,Mujer-Hombre,0
25 Lleida,2005,1726,Mujer-Hombre,0
27 Lugo,2020,633,Mujer-Hombre,0
27 Lugo,2019,998,Mujer-Hombre,0
27 Lugo,2018,1018,Mujer-Hombre,0
27 Lugo,2017,1053,Mujer-Hombre,0
27 Lugo,2016,1045,Mujer-Hombre,0
27 Lugo,2015,975,Mujer-Hombre,0
27 Lugo,2014,977,Mujer-Hombre,0
27 Lugo,2013,924,Mujer-Hombre,0
27 Lugo,2012,1026,Mujer-Hombre,0
27 Lugo,2011,1027,Mujer-Hombre,0
27 Lugo,2010,1069,Mujer-Hombre,0
27 Lugo,2009,1080,Mujer-Hombre,0
27 Lugo,2008,1122,Mujer-Hombre,0
27 Lugo,2007,1141,Mujer-Hombre,0
27 Lugo,2006,1113,Mujer-Hombre,0
27 Lugo,2005,1075,Mujer-Hombre,0
28 Madrid,2020,12394,Mujer-Hombre,0
28 Madrid,2019,23538,Mujer-Hombre,0
28 Madrid,2018,23797,Mujer-Hombre,0
28 Madrid,2017,25039,Mujer-Hombre,0
28 Madrid,2016,25215,Mujer-Hombre,0
28 Madrid,2015,24848,Mujer-Hombre,0
28 Madrid,2014,23222,Mujer-Hombre,0
28 Madrid,2013,23878,Mujer-Hombre,0
28 Madrid,2012,24526,Mujer-Hombre,0
28 Madrid,2011,24306,Mujer-Hombre,0
28 Madrid,2010,24603,Mujer-Hombre,0
28 Madrid,2009,24505,Mujer-Hombre,0
28 Madrid,2008,26583,Mujer-Hombre,0
28 Madrid,2007,28000,Mujer-Hombre,0
28 Madrid,2006,27684,Mujer-Hombre,0
28 Madrid,2005,28387,Mujer-Hombre,0
29 Málaga,2020,3055,Mujer-Hombre,0
29 Málaga,2019,5537,Mujer-Hombre,0
29 Málaga,2018,5446,Mujer-Hombre,0
29 Málaga,2017,5720,Mujer-Hombre,0
29 Málaga,2016,5554,Mujer-Hombre,0
29 Málaga,2015,5551,Mujer-Hombre,0
29 Málaga,2014,5392,Mujer-Hombre,0
29 Málaga,2013,5036,Mujer-Hombre,0
29 Málaga,2012,5355,Mujer-Hombre,0
29 Málaga,2011,5156,Mujer-Hombre,0
29 Málaga,2010,5591,Mujer-Hombre,0
29 Málaga,2009,5868,Mujer-Hombre,0
29 Málaga,2008,6994,Mujer-Hombre,0
29 Málaga,2007,7238,Mujer-Hombre,0
29 Málaga,2006,7463,Mujer-Hombre,0
29 Málaga,2005,7349,Mujer-Hombre,0
30 Murcia,2020,2601,Mujer-Hombre,0
30 Murcia,2019,4955,Mujer-Hombre,0
30 Murcia,2018,5079,Mujer-Hombre,0
30 Murcia,2017,5094,Mujer-Hombre,0
30 Murcia,2016,5067,Mujer-Hombre,0
30 Murcia,2015,4815,Mujer-Hombre,0
30 Murcia,2014,4846,Mujer-Hombre,0
30 Murcia,2013,4375,Mujer-Hombre,0
30 Murcia,2012,4867,Mujer-Hombre,0
30 Murcia,2011,4656,Mujer-Hombre,0
30 Murcia,2010,4996,Mujer-Hombre,0
30 Murcia,2009,5125,Mujer-Hombre,0
30 Murcia,2008,5765,Mujer-Hombre,0
30 Murcia,2007,6647,Mujer-Hombre,0
30 Murcia,2006,6484,Mujer-Hombre,0
30 Murcia,2005,6668,Mujer-Hombre,0
31 Navarra,2020,1279,Mujer-Hombre,0
31 Navarra,2019,2050,Mujer-Hombre,0
31 Navarra,2018,2050,Mujer-Hombre,0
31 Navarra,2017,2295,Mujer-Hombre,0
31 Navarra,2016,2383,Mujer-Hombre,0
31 Navarra,2015,2616,Mujer-Hombre,0
31 Navarra,2014,2301,Mujer-Hombre,0
31 Navarra,2013,2097,Mujer-Hombre,0
31 Navarra,2012,2232,Mujer-Hombre,0
31 Navarra,2011,2218,Mujer-Hombre,0
31 Navarra,2010,2285,Mujer-Hombre,0
31 Navarra,2009,2492,Mujer-Hombre,0
31 Navarra,2008,2681,Mujer-Hombre,0
31 Navarra,2007,2705,Mujer-Hombre,0
31 Navarra,2006,2727,Mujer-Hombre,0
31 Navarra,2005,2671,Mujer-Hombre,0
32 Ourense,2020,496,Mujer-Hombre,0
32 Ourense,2019,860,Mujer-Hombre,0
32 Ourense,2018,737,Mujer-Hombre,0
32 Ourense,2017,819,Mujer-Hombre,0
32 Ourense,2016,825,Mujer-Hombre,0
32 Ourense,2015,825,Mujer-Hombre,0
32 Ourense,2014,846,Mujer-Hombre,0
32 Ourense,2013,861,Mujer-Hombre,0
32 Ourense,2012,917,Mujer-Hombre,0
